# wavelength, spectrum
1.065539999999999964e+03,9.907174884207171628e-01
1.067119999999999891e+03,9.936867476841544367e-01
1.068700000000000045e+03,9.913366561212235695e-01
1.070279999999999973e+03,9.939038753622997380e-01
1.071859999999999900e+03,9.918242591608095182e-01
1.073440000000000055e+03,9.919792635857783702e-01
1.075019999999999982e+03,9.910898995437741332e-01
1.076599999999999909e+03,9.913909508835425655e-01
1.078180000000000064e+03,9.889670263631428204e-01
1.079759999999999991e+03,9.893104858262814494e-01
1.081349999999999909e+03,9.867341823022848235e-01
1.082930000000000064e+03,9.874749264363866796e-01
1.084509999999999991e+03,9.848728657387583185e-01
1.086089999999999918e+03,9.844001210820829684e-01
1.087670000000000073e+03,9.817002378025727616e-01
1.089250000000000000e+03,9.813788972465495863e-01
1.090839999999999918e+03,9.775607424394620049e-01
1.092420000000000073e+03,9.785586392726242089e-01
1.094000000000000000e+03,9.757139464076434177e-01
1.095579999999999927e+03,9.731464527559149369e-01
1.097170000000000073e+03,9.705729606434214674e-01
1.098750000000000000e+03,9.686735970160275100e-01
1.100329999999999927e+03,9.608991811864906474e-01
1.101920000000000073e+03,9.614496389409080690e-01
1.103500000000000000e+03,9.555988259575317612e-01
1.105079999999999927e+03,9.505685817647052671e-01
1.106670000000000073e+03,9.455997849377900666e-01
1.108250000000000000e+03,9.401775968999228628e-01
1.109839999999999918e+03,9.340192471244013195e-01
1.111420000000000073e+03,9.290985293348656970e-01
1.113009999999999991e+03,9.224676664701947360e-01
1.114589999999999918e+03,9.159823369005238858e-01
1.116180000000000064e+03,9.086931861293651158e-01
1.117759999999999991e+03,9.001503039745709644e-01
1.119349999999999909e+03,8.904800806282076042e-01
1.120930000000000064e+03,8.789780184184481371e-01
1.122519999999999982e+03,8.679703574481679729e-01
1.124109999999999900e+03,8.571855755622830308e-01
1.125690000000000055e+03,8.430803204787555849e-01
1.127279999999999973e+03,8.338340866948823482e-01
1.128859999999999900e+03,8.214569197728186500e-01
1.130450000000000045e+03,8.107248667017044053e-01
1.132039999999999964e+03,7.993070123838924568e-01
1.133630000000000109e+03,7.879841141646363178e-01
1.135210000000000036e+03,7.769678391799431649e-01
1.136799999999999955e+03,7.666096459622439019e-01
1.138390000000000100e+03,7.557652381128054930e-01
1.139980000000000018e+03,7.475502670035161223e-01
1.141559999999999945e+03,7.368960877697807721e-01
1.143150000000000091e+03,7.290434224772054383e-01
1.144740000000000009e+03,7.174466686668153903e-01
1.146329999999999927e+03,7.101659454457952547e-01
1.147920000000000073e+03,6.995308348685169708e-01
1.149509999999999991e+03,6.907104793310880897e-01
1.151099999999999909e+03,6.814045364028484819e-01
1.152680000000000064e+03,6.730905505997354377e-01
1.154269999999999982e+03,6.615769286116252035e-01
1.155859999999999900e+03,6.513388699599874654e-01
1.157450000000000045e+03,6.395529922243838872e-01
1.159039999999999964e+03,6.304808089457276665e-01
1.160630000000000109e+03,6.192482499689753173e-01
1.162220000000000027e+03,6.115692676095693114e-01
1.163809999999999945e+03,6.025895498329244537e-01
1.165410000000000082e+03,5.958992027901929278e-01
1.167000000000000000e+03,5.887687565872957718e-01
1.168589999999999918e+03,5.828844449051145959e-01
1.170180000000000064e+03,5.769627435526958337e-01
1.171769999999999982e+03,5.736285964317903163e-01
1.173359999999999900e+03,5.693588951756620720e-01
1.174950000000000045e+03,5.681235005851716924e-01
1.176549999999999955e+03,5.650558205591872385e-01
1.178140000000000100e+03,5.669315916516119991e-01
1.179730000000000018e+03,5.696277126155058212e-01
1.181319999999999936e+03,5.744839385786835173e-01
1.182920000000000073e+03,5.797996944246129880e-01
1.184509999999999991e+03,5.863958886209656995e-01
1.186099999999999909e+03,5.942156022823876782e-01
1.187700000000000045e+03,6.021535709197031183e-01
1.189289999999999964e+03,6.082305974268673587e-01
1.190880000000000109e+03,6.160973158560831830e-01
1.192480000000000018e+03,6.205270488209181368e-01
1.194069999999999936e+03,6.277950356201890125e-01
1.195670000000000073e+03,6.348690542288003558e-01
1.197259999999999991e+03,6.403112046414394243e-01
1.198849999999999909e+03,6.464870714980495148e-01
1.200450000000000045e+03,6.551176370315883180e-01
1.202039999999999964e+03,6.626948775451046991e-01
1.203640000000000100e+03,6.698600441557415186e-01
1.205240000000000009e+03,6.780822674055575483e-01
1.206829999999999927e+03,6.856188566166528942e-01
1.208430000000000064e+03,6.938627881599266356e-01
1.210019999999999982e+03,7.003201966939266443e-01
1.211619999999999891e+03,7.076795759773245598e-01
1.213220000000000027e+03,7.152256407071686528e-01
1.214809999999999945e+03,7.207238584888973065e-01
1.216410000000000082e+03,7.256307842364259075e-01
1.218009999999999991e+03,7.295925079730142260e-01
1.219599999999999909e+03,7.333840015706121207e-01
1.221200000000000045e+03,7.362283622035563635e-01
1.222799999999999955e+03,7.398410336110237129e-01
1.224400000000000091e+03,7.416236835567718844e-01
1.225990000000000009e+03,7.434752279413660014e-01
1.227589999999999918e+03,7.455770654715010437e-01
1.229190000000000055e+03,7.475971342086937810e-01
1.230789999999999964e+03,7.491039268425788711e-01
1.232390000000000100e+03,7.506897778383122555e-01
1.233990000000000009e+03,7.508800980053568219e-01
1.235589999999999918e+03,7.521152416355753045e-01
1.237180000000000064e+03,7.521401908354156118e-01
1.238779999999999973e+03,7.532988421832841341e-01
1.240380000000000109e+03,7.534933462346021793e-01
1.241980000000000018e+03,7.538690248906072533e-01
1.243579999999999927e+03,7.546044523103140333e-01
1.245180000000000064e+03,7.539074076067158181e-01
1.246779999999999973e+03,7.534398540201416861e-01
1.248380000000000109e+03,7.560852326778609855e-01
1.249990000000000009e+03,7.561133418941043960e-01
1.251589999999999918e+03,7.567418176887635850e-01
1.253190000000000055e+03,7.564748328987170867e-01
1.254789999999999964e+03,7.566876954025060220e-01
1.256390000000000100e+03,7.561318758169544019e-01
1.257990000000000009e+03,7.564909194655441427e-01
1.259589999999999918e+03,7.558506314541404425e-01
1.261200000000000045e+03,7.554617225956561377e-01
1.262799999999999955e+03,7.520558078164236715e-01
1.264400000000000091e+03,7.534443842417446469e-01
1.266000000000000000e+03,7.525557720130074957e-01
