# wavelength, spectrum
3.174700000000000273e+02,1.271205993336258291e-02
3.179800000000000182e+02,1.184376129808763223e-02
3.184900000000000091e+02,1.272040579716576629e-02
3.190000000000000000e+02,1.304716556926619961e-02
3.195099999999999909e+02,1.364453242952419661e-02
3.200199999999999818e+02,1.386908097111812233e-02
3.205299999999999727e+02,1.239390851083313136e-02
3.210400000000000205e+02,1.374871455359396970e-02
3.215500000000000114e+02,1.331185927135912841e-02
3.220600000000000023e+02,1.343160803939978665e-02
3.225699999999999932e+02,1.351753599032609783e-02
3.230799999999999841e+02,1.430909282804908311e-02
3.235799999999999841e+02,1.531971067771253220e-02
3.240899999999999750e+02,1.606081349164123831e-02
3.246000000000000227e+02,1.588993892446753306e-02
3.251100000000000136e+02,1.363136185600487271e-02
3.256200000000000045e+02,1.634673866671100192e-02
3.261200000000000045e+02,1.381080372242527061e-02
3.266299999999999955e+02,1.553725320554663440e-02
3.271399999999999864e+02,1.663012677007627907e-02
3.276499999999999773e+02,1.498714683663386442e-02
3.281499999999999773e+02,1.460690242663782029e-02
3.286600000000000250e+02,1.729358756526823762e-02
3.291700000000000159e+02,1.656383248950244955e-02
3.296700000000000159e+02,1.654239123270930673e-02
3.301800000000000068e+02,1.753258729703810470e-02
3.306899999999999977e+02,1.771492331909321066e-02
3.311899999999999977e+02,1.728878496393007960e-02
3.316999999999999886e+02,1.724446213497704550e-02
3.322099999999999795e+02,1.690638551984512128e-02
3.327099999999999795e+02,1.928151266992085902e-02
3.332200000000000273e+02,1.936776952691120213e-02
3.337300000000000182e+02,1.829508442523672743e-02
3.342300000000000182e+02,1.904884853386921983e-02
3.347400000000000091e+02,1.848768264103982026e-02
3.352400000000000091e+02,1.849573378367549634e-02
3.357500000000000000e+02,2.000019994098109835e-02
3.362500000000000000e+02,1.900781513927619210e-02
3.367599999999999909e+02,1.973898079925685833e-02
3.372599999999999909e+02,1.976648045532980458e-02
3.377699999999999818e+02,2.023811779529438581e-02
3.382699999999999818e+02,2.036613590503718804e-02
3.387799999999999727e+02,1.847730422689791360e-02
3.392799999999999727e+02,1.922768085733719476e-02
3.397900000000000205e+02,2.095549743673017287e-02
3.402900000000000205e+02,1.963281780693281603e-02
3.408000000000000114e+02,1.906793968456919897e-02
3.413000000000000114e+02,2.112334999922451870e-02
3.418000000000000114e+02,1.812567940083478768e-02
3.423100000000000023e+02,1.869859783727902472e-02
3.428100000000000023e+02,2.088985537796820072e-02
3.433100000000000023e+02,2.046467205150697202e-02
3.438199999999999932e+02,2.273812150019120099e-02
3.443199999999999932e+02,2.203557567242164089e-02
3.448199999999999932e+02,2.102665587519611523e-02
3.453299999999999841e+02,1.970082382936365686e-02
3.458299999999999841e+02,2.199853222447866949e-02
3.463299999999999841e+02,2.217167703969753073e-02
3.468399999999999750e+02,2.217010547734765344e-02
3.473399999999999750e+02,2.108087981609963954e-02
3.478399999999999750e+02,2.205021178764947354e-02
3.483399999999999750e+02,1.974977360497640055e-02
3.488399999999999750e+02,1.946909718812660575e-02
3.493500000000000227e+02,1.973659784296734679e-02
3.498500000000000227e+02,2.250428146819372088e-02
3.503500000000000227e+02,2.116746212183440515e-02
3.508500000000000227e+02,2.240069944333771684e-02
3.513500000000000227e+02,2.067449734787121102e-02
3.518500000000000227e+02,2.411750161623343880e-02
3.523600000000000136e+02,2.185453370608100507e-02
3.528600000000000136e+02,2.086741105716912598e-02
3.533600000000000136e+02,2.316722316503254733e-02
3.538600000000000136e+02,2.276132254692265697e-02
3.543600000000000136e+02,2.186643008718211489e-02
3.548600000000000136e+02,2.058726948546581864e-02
3.553600000000000136e+02,2.155922209606732365e-02
3.558600000000000136e+02,2.259086660814320704e-02
3.563600000000000136e+02,2.135542742616336823e-02
3.568600000000000136e+02,2.131064602102074670e-02
3.573600000000000136e+02,2.038891436556204348e-02
3.578600000000000136e+02,2.205589826023945238e-02
3.583600000000000136e+02,2.101131470824593728e-02
3.588600000000000136e+02,2.185595777774710161e-02
3.593600000000000136e+02,2.253025149911458760e-02
3.598600000000000136e+02,2.365233507248219735e-02
3.603600000000000136e+02,2.172554596703627286e-02
3.608600000000000136e+02,2.218180709297224579e-02
3.613600000000000136e+02,2.300205869858822777e-02
3.618600000000000136e+02,2.213139053011740562e-02
3.623500000000000227e+02,2.164649148564274164e-02
3.628500000000000227e+02,2.106413729949858579e-02
3.633500000000000227e+02,2.252359691819006901e-02
3.638500000000000227e+02,2.163802920553157400e-02
3.643500000000000227e+02,2.054157471805104218e-02
3.648500000000000227e+02,2.135544098207112218e-02
3.653399999999999750e+02,2.220312590896426214e-02
3.658399999999999750e+02,2.114966550701567402e-02
3.663399999999999750e+02,2.148985477546304021e-02
3.668399999999999750e+02,2.097606928537617751e-02
3.673299999999999841e+02,2.041186428599372354e-02
3.678299999999999841e+02,2.130425161278043725e-02
3.683299999999999841e+02,2.191612267019740767e-02
3.688299999999999841e+02,2.219747838628422995e-02
3.693199999999999932e+02,2.067843976557715013e-02
3.698199999999999932e+02,1.961474904500544805e-02
3.703199999999999932e+02,2.196467978063901261e-02
3.708100000000000023e+02,2.074599106899345513e-02
3.713100000000000023e+02,2.188134128054504760e-02
3.718100000000000023e+02,2.052714806323495400e-02
3.723000000000000114e+02,2.116553084299453019e-02
3.728000000000000114e+02,2.143351917381530400e-02
3.732900000000000205e+02,2.162471002161700517e-02
3.737900000000000205e+02,2.094939159667997056e-02
3.742900000000000205e+02,2.167263764300169510e-02
3.747799999999999727e+02,2.216197941305142818e-02
3.752799999999999727e+02,2.171314980001506911e-02
3.757699999999999818e+02,2.126058339423240323e-02
3.762699999999999818e+02,2.087870043832509848e-02
3.767599999999999909e+02,2.123463440474134684e-02
3.772599999999999909e+02,2.171185740895345204e-02
3.777500000000000000e+02,2.171523885187626526e-02
3.782500000000000000e+02,2.266484426958860487e-02
3.787400000000000091e+02,2.240899726804479464e-02
3.792400000000000091e+02,2.094624051697345501e-02
3.797300000000000182e+02,2.174557462000333008e-02
3.802200000000000273e+02,2.115089058968583693e-02
3.807200000000000273e+02,2.204633500590999148e-02
3.812099999999999795e+02,2.086045596988042941e-02
3.817099999999999795e+02,2.163631480108822377e-02
3.821999999999999886e+02,2.217883342955765530e-02
3.826899999999999977e+02,2.209862591391401412e-02
3.831899999999999977e+02,2.228560396781817041e-02
3.836800000000000068e+02,2.225040657676338393e-02
3.841700000000000159e+02,2.292268230777721322e-02
3.846700000000000159e+02,2.211354126509235130e-02
3.851600000000000250e+02,2.309308737654335031e-02
3.856499999999999773e+02,2.196932185066227325e-02
3.861499999999999773e+02,2.279041204309567581e-02
3.866399999999999864e+02,2.353906867841549025e-02
3.871299999999999955e+02,2.249873693425892551e-02
3.876200000000000045e+02,2.313141454803417651e-02
3.881100000000000136e+02,2.301840263914279108e-02
3.886100000000000136e+02,2.303825098435769922e-02
3.891000000000000227e+02,2.315729331757036477e-02
3.895899999999999750e+02,2.214113159571832676e-02
3.900799999999999841e+02,2.334632687907597579e-02
3.905699999999999932e+02,2.303811043264492389e-02
3.910699999999999932e+02,2.358627441695336155e-02
3.915600000000000023e+02,2.395005271417334838e-02
3.920500000000000114e+02,2.397173807026278802e-02
3.925400000000000205e+02,2.376182447092430039e-02
3.930299999999999727e+02,2.364635826863281318e-02
3.935199999999999818e+02,2.335064848169866175e-02
3.940099999999999909e+02,2.484777449273659067e-02
3.945000000000000000e+02,2.487580367133525316e-02
3.949900000000000091e+02,2.508515023716475709e-02
